38	131	7	ehqcqidcibnanewxlbtegihjjjidctihyiwscrosjqke
10	180	28	gyyaifiklcwqsuoaqxoqjbclvbdboyqormhmkuetulxi	
132	189	9	qoqdzcrcgrkddobeoaaokxwkysusfcgpirwcgptucosb	
138	85	34	iilsbtirorjgekwbfgjdjzhpkkkvnfglalaoohatlqwy	
17	185	37	odjoswcoyidysbltieftyszyzywthizghlpcbbctsqtw	
9	120	0	cqnscywgbhrpvewfqsqlpbcyegrmrrdduglhxrhildyd	
166	153	45	jjqedhgblnfsijlnrxmemvhjwrlofdbwkflaxzehcvaf	
193	83	26	ckrptfeponbjslmrlattvrckzjuojltgqtldpvbipfgl	
60	31	28	kkcgscfmiakgfoykqclfpyaaxmjilkukrcbpeiwammqd	
0	132	35	rcnoqtcigtemkkgsycqsfwymcnjgfdsoegyfaodvpqos	
134	4	7	vlwnwbetopcitziotdohbmfarinokhzggyblnkwysjxh	
76	131	19	frutiiskydaprpfybhfdgcqgmutedbrctcldhvpvtidb	
41	38	47	gyogucwrqbbdvjlquwoovrzovrgsqdtktztvgbxcvchb	
11	169	27	lhpuvjhikjvjosxpdwrruqnnvpystrqzjdfukrurknkx	
195	0	4	fzlnoaqznnyqipbqgsuicjszlluaizrndjnvocxpnmay	
146	31	39	zfhagvzqgpyvnhisgkqiiwgewrfdoopmqcxiefdspiii	
187	183	8	sejrrqchpnnivmcjsqixuwyrgkqwejbsqjeltdhnpcaa	
150	0	15	tqgybcrjcwalsfejxwlocggdrccncfxbqvwufibiiqku	
190	185	41	vpijwxmvqltlcpuqpwfegolerfsnujfdoousynuwezig	
59	179	41	ahsslwlsojvypyzaoxpfgxubidevsrfuemwrjnqmptib	
185	134	33	lqsmyntqevncfcoxxxpqvpzinbcafkdklqkxsgbqhjkt	
117	163	43	qzxphztwsnklxoxpkkunytzirxcacxouiqlnlqlucjms	
169	21	31	aysgmtpqonseyizzbwyqkbkshuhhiltquelqweemgumn	
